13	83	2
4	26	2
13	94	2
3	172	4
2	181	4
5	155	3
12	12	0
29	72	1
33	153	1
102	102	0
87	87	0
26	58	1
1	163	5
1	81	5
2	143	4
5	128	3
81	81	0
66	66	0
2	75	4
156	156	0
4	18	2
30	136	1
7	171	3
12	122	2
12	133	2
32	148	1
13	152	2
6	6	0
10	50	2
1	54	5
1	65	5
135	135	0
5	79	3
5	90	3
41	41	0
120	120	0
11	24	1
4	59	3
1	122	5
60	60	0
5	147	3
5	158	3
2	162	4
1	150	5
1	161	5
12	141	2
52	52	0
1	9	2
1	73	5
8	170	2
2	124	4
2	135	4
4	49	3
7	45	2
10	19	1
31	81	1
1	84	5
35	101	1
31	31	0
169	169	0
16	16	0
12	125	2
16	173	2
34	95	1
106	106	0
1	12	3
1	46	5
2	86	4
1	180	5
5	60	3
5	71	3
5	82	3
1	169	5
2	97	4
1	74	5
2	25	3
2	36	3
29	133	1
1	24	4
4	185	3
12	65	2
12	76	2
3	16	2
5	139	3
160	160	0
3	173	4
2	154	4
2	165	4
2	48	4
1	131	5
1	142	5
13	34	1
13	86	2
1	153	5
13	97	2
28	65	1
12	144	2
23	53	1
45	45	0
183	183	0
2	127	4
5	101	3
4	52	3
7	37	2
21	48	1
10	52	2
13	154	2
13	165	2
1	93	5
1	104	5
2	2	0
1	43	4
162	162	0
32	83	1
37	37	0
2	184	4
27	60	1
31	141	1
2	67	4
1	172	5
5	63	3
2	78	4
33	107	1
13	105	2
7	174	3
56	56	0
2	28	3
154	154	0
11	183	2
12	68	2
36	104	1
2	146	4
30	73	1
1	123	5
1	134	5
173	173	0
13	89	2
4	21	2
4	51	3
79	79	0
5	150	3
29	67	1
4	10	1
58	58	0
13	146	2
34	156	1
28	125	1
148	148	0
18	180	1
1	35	4
1	76	5
5	123	3
10	22	1
2	59	4
33	88	1
112	112	0
13	147	2
4	120	3
1	49	5
5	33	2
1	183	5
5	74	3
2	89	4
20	182	1
4	54	3
179	179	0
12	79	2
1	106	5
2	168	4
40	174	1
5	131	3
3	176	4
5	142	3
5	153	3
2	157	4
12	29	1
29	70	1
1	145	5
35	162	1
7	17	1
158	158	0
2	5	1
12	136	2
13	166	2
10	53	2
1	4	2
1	68	5
5	93	3
98	98	0
7	40	2
5	104	3
1	107	5
16	39	1
5	13	1
13	96	2
133	133	0
8	9	1
90	90	0
31	144	1
2	70	4
1	175	5
152	152	0
5	66	3
5	77	3
26	121	1
2	81	4
17	178	2
1	69	5
1	164	5
2	20	3
2	31	3
3	39	3
1	19	4
4	180	3
12	60	2
12	71	2
2	138	4
5	134	3
30	76	1
3	179	4
144	144	0
2	149	4
1	152	5
1	126	5
1	137	5
5	162	3
4	24	2
11	120	2
12	128	2
12	139	2
36	164	1
29	29	0
108	108	0
2	100	4
5	85	3
5	96	3
13	149	2
10	47	2
10	181	2
28	128	1
1	88	5
1	99	5
5	35	2
104	104	0
44	178	1
8	8	0
1	27	4
1	38	4
83	83	0
2	51	4
2	62	4
22	54	1
2	73	4
33	91	1
1	156	5
13	100	2
1	167	5
2	23	3
32	146	1
3	42	3
5	36	2
2	130	4
2	105	4
137	137	0
1	129	5
4	46	3
15	15	0
94	94	0
32	86	1
2	160	4
5	145	3
36	167	1
